"","survey","mode_nonm","PM_Peak","area","area_dest","count","count_moe","share","share_moe","sample_size"
"161","2017_2019","Non-Motorized","Not PM Peak","Capitol Hill/Central District","Southeast Seattle",4019.73259690058,3200.62212483465,0.0383428783857348,0.0299357704205153,30
"162","2017_2019","Non-Motorized","Not PM Peak","Downtown/Lake Union","Capitol Hill/Central District",7900.11234071271,2201.80661466754,0.0368931160353249,0.0110443475018721,240
"163","2017_2019","Non-Motorized","Not PM Peak","Downtown/Lake Union","Downtown/Lake Union",190865.256736394,26636.5318160665,0.891330877359724,0.0433468773563674,3625
"164","2017_2019","Non-Motorized","Not PM Peak","Downtown/Lake Union","Duwamish",903.656069950858,802.462442213167,0.00422002710935057,0.00377354757122053,34
"165","2017_2019","Non-Motorized","Not PM Peak","Downtown/Lake Union","Magnolia/Queen Anne",2451.73374007846,1432.09879327709,0.0114494697618788,0.00678377692252242,65
"166","2017_2019","Non-Motorized","Not PM Peak","Downtown/Lake Union","Northeast Seattle",5368.0050949712,8125.51994129087,0.0250683061589376,0.0371321345929682,30
"167","2017_2019","Non-Motorized","Not PM Peak","Downtown/Lake Union","Northwest Seattle",4632.68334826357,4598.02658381407,0.0216343916328392,0.0211988648417597,33
"168","2017_2019","Non-Motorized","Not PM Peak","Downtown/Lake Union","Not Seattle",510.933042699799,298.706667111404,0.00238603088382218,0.0014273069796387,34
"169","2017_2019","Non-Motorized","Not PM Peak","Downtown/Lake Union","Southeast Seattle",350.005685364815,316.400713634837,0.00163450844827133,0.00149107644911484,17
"170","2017_2019","Non-Motorized","Not PM Peak","Downtown/Lake Union","West Seattle",1152.74780091198,1725.51403582122,0.00538327260985184,0.00804645468316954,6
"171","2017_2019","Non-Motorized","Not PM Peak","Duwamish","Capitol Hill/Central District",14.4649682219926,19.196293338552,0.00350396784425512,0.00517501835632322,2
"172","2017_2019","Non-Motorized","Not PM Peak","Duwamish","Downtown/Lake Union",540.339541388464,389.244379155963,0.130890877114137,0.118200697960514,23
"173","2017_2019","Non-Motorized","Not PM Peak","Duwamish","Duwamish",3430.40673683115,2684.51354520227,0.830975548241933,0.13647803560314,74
"174","2017_2019","Non-Motorized","Not PM Peak","Duwamish","Northwest Seattle",2.97089915702051,4.8871291133151,0.0007196652598861,0.00127414271502055,1
"175","2017_2019","Non-Motorized","Not PM Peak","Duwamish","Not Seattle",49.7745659650455,59.3246086838953,0.0120573011932444,0.0162604077315094,3
"176","2017_2019","Non-Motorized","Not PM Peak","Duwamish","Southeast Seattle",32.7347876616874,38.8200523967212,0.00792961599325733,0.0106872398280721,2
"177","2017_2019","Non-Motorized","Not PM Peak","Duwamish","West Seattle",57.4765847678986,67.5765921413031,0.0139230243532866,0.0185560656497618,6
"178","2017_2019","Non-Motorized","Not PM Peak","Magnolia/Queen Anne","Capitol Hill/Central District",354.174112548325,559.066736906026,0.00856110100115462,0.0137439217170939,2
"179","2017_2019","Non-Motorized","Not PM Peak","Magnolia/Queen Anne","Downtown/Lake Union",3736.7153415409,3222.13270046994,0.0903239291582348,0.0775669896587418,61
"180","2017_2019","Non-Motorized","Not PM Peak","Magnolia/Queen Anne","Magnolia/Queen Anne",33467.6975725108,13934.3180067046,0.808981597025299,0.117444390901605,221
"181","2017_2019","Non-Motorized","Not PM Peak","Magnolia/Queen Anne","Northeast Seattle",220.250453307645,317.377567175279,0.00532389666412889,0.00786530043940307,4
"182","2017_2019","Non-Motorized","Not PM Peak","Magnolia/Queen Anne","Northwest Seattle",3098.85746275485,3767.32398743541,0.0749056206732393,0.0881470267932191,27
"183","2017_2019","Non-Motorized","Not PM Peak","Magnolia/Queen Anne","Not Seattle",492.464397889405,504.504451870693,0.011903855477943,0.012780808943543,7
"184","2017_2019","Non-Motorized","Not PM Peak","Northeast Seattle","Capitol Hill/Central District",3812.09949783334,5439.3324322438,0.0302516096502744,0.0422813701688792,20
"185","2017_2019","Non-Motorized","Not PM Peak","Northeast Seattle","Downtown/Lake Union",3881.81111847335,5437.02805756752,0.0308048189085555,0.0422557238655857,43
