geoid10,geoid_nm,jobs_auto,jobs_transit,supermarket,pharmacy,restaurant,park,school
53033029408,53033029408,361595,25943,0.75,0.44,0.43,0.25,0.29
53033029407,53033029407,368775,46348,0.64,0.4,0.38,0.22,0.38
53033029406,53033029406,324670,1963,1.34,0.88,0.86,0.17,0.36
53033029405,53033029405,343384,2304,1.04,1.02,1,0.26,0.24
53033006400,53033006400,984110,622079,0.52,0.56,0.31,0.14,0.32
53033006300,53033006300,937498,376013,0.29,1.6,0.27,0.19,0.64
53033006200,53033006200,964865,659791,0.64,0.83,0.37,0.08,0.26
53033006100,53033006100,965441,612289,0.33,0.44,0.21,0.07,0.29
53033006000,53033006000,855736,544298,0.55,0.44,0.2,0.06,0.25
53033005801,53033005801,604640,416783,0.76,0.4,0.4,0.14,0.41
53033005700,53033005700,590987,274069,0.62,0.38,0.55,0.12,0.63
53033026002,53033026002,527352,167010,0.68,0.78,0.44,0.21,0.46
53033025804,53033025804,331466,12591,0.62,1.12,1.02,0.13,0.34
53033031909,53033031909,290156,2173,0.73,0.79,0.56,0.23,0.46
53033031908,53033031908,272534,1983,0.72,0.71,0.6,0.54,0.38
53033022102,53033022102,232246,12036,0.95,0.91,0.75,0.33,0.45
53033022500,53033022500,487621,282695,0.35,0.38,0.26,0.11,0.54
53033029403,53033029403,381325,42961,0.49,0.48,0.4,0.41,0.39
53033029307,53033029307,329435,202,1.29,1.45,1.26,0.13,0.35
53033029306,53033029306,371142,31566,0.5,0.6,0.55,0.26,0.35
53033028902,53033028902,434425,64239,0.41,0.65,0.27,0.08,0.2
53033028901,53033028901,412053,54029,0.61,0.5,0.19,0.13,0.82
53033028802,53033028802,459607,78028,0.51,0.57,0.48,0.33,0.31
53033028801,53033028801,451505,63540,0.93,0.67,0.53,0.11,0.7
53033005600,53033005600,598368,259210,0.48,0.5,0.49,0.11,0.76
53033005400,53033005400,903209,555300,0.48,0.43,0.11,0.15,0.4
53033005302,53033005302,942669,725839,0.14,0.23,0.12,0.11,0.46
53033005301,53033005301,941179,724240,0.14,0.13,0.08,0.2,0.55
