,geography_value,jobs_1_mile_walk,jobs_3_mile_bike,geography_group
143,53033021100.0,1700.4022072348253,34523.133660331085,Census2010Tract
144,53033021300.0,1699.609573241061,19606.740484429065,Census2010Tract
145,53033021400.0,643.2321178120617,14665.604488078541,Census2010Tract
146,53033021500.0,340.4801633605601,7197.797549591599,Census2010Tract
147,53033021600.0,910.0714642678661,6928.571214392804,Census2010Tract
148,53033021700.0,1047.2254483347567,12155.752063763166,Census2010Tract
149,53033021802.0,3790.220134228188,33251.964205816555,Census2010Tract
150,53033021803.0,2868.2696824706395,26782.24358416703,Census2010Tract
151,53033021804.0,4679.099373321396,30452.48299015219,Census2010Tract
152,53033021903.0,6535.053605861936,30214.04782105669,Census2010Tract
153,53033021904.0,3433.0788511749347,30619.41148825065,Census2010Tract
154,53033021905.0,1417.9290681502086,34243.08113120074,Census2010Tract
155,53033021906.0,1369.412492269635,29870.060606060608,Census2010Tract
156,53033022001.0,1196.8852913968547,27227.838575393154,Census2010Tract
157,53033022003.0,2552.352676338169,25840.294647323663,Census2010Tract
158,53033022005.0,4993.946143313556,28599.821999087173,Census2010Tract
159,53033022006.0,2522.4056603773583,33435.38568257492,Census2010Tract
160,53033022101.0,693.9221871713985,5737.027339642482,Census2010Tract
161,53033022102.0,377.60107705053855,9920.971416735709,Census2010Tract
162,53033022201.0,633.4452764976959,8275.44930875576,Census2010Tract
163,53033022202.0,1598.1538933169834,24791.92550582465,Census2010Tract
164,53033022203.0,666.985536159601,12999.482294264339,Census2010Tract
165,53033022300.0,147.7117117117117,3624.417117117117,Census2010Tract
166,53033022400.0,5857.347979387036,32819.67019256848,Census2010Tract
167,53033022500.0,8192.840388446215,33706.39940239044,Census2010Tract
168,53033022603.0,3243.015993602559,44905.06397441024,Census2010Tract
169,53033022604.0,3126.3930131004367,49956.39465065502,Census2010Tract
170,53033022605.0,5155.458890238963,53090.194815714865,Census2010Tract
171,53033022606.0,1710.2222687316869,70194.1469233989,Census2010Tract
172,53033022701.0,7073.473026689381,59624.94946053379,Census2010Tract
173,53033022702.0,3337.654285714286,43450.750714285714,Census2010Tract
174,53033022703.0,1467.518837459634,43981.72443487621,Census2010Tract
175,53033022801.0,18148.885232744782,98117.51926163724,Census2010Tract
176,53033022802.0,4868.432485322896,90122.82974559687,Census2010Tract
177,53033022803.0,24344.596471885336,94774.49687614848,Census2010Tract
178,53033022901.0,10296.907206317868,82889.74531095756,Census2010Tract
179,53033022902.0,565.3090211132437,70382.30172744722,Census2010Tract
180,53033023000.0,8797.115368421053,70037.10568421053,Census2010Tract
181,53033023100.0,1291.6340454858719,60740.22467263956,Census2010Tract
182,53033023201.0,14052.615933859452,98873.74859075535,Census2010Tract
183,53033023202.0,11515.98398291511,87584.20875600641,Census2010Tract
184,53033023300.0,1266.5279418446162,61719.52567014993,Census2010Tract
185,53033023401.0,4237.783838383838,53469.2202020202,Census2010Tract
186,53033023403.0,2711.4383477188658,27390.78853267571,Census2010Tract
187,53033023404.0,123.72368421052632,14512.27302631579,Census2010Tract
188,53033023500.0,5742.531106745252,79855.06483300589,Census2010Tract
189,53033023601.0,23781.311941964286,131939.20591517858,Census2010Tract
190,53033023603.0,8517.02779893374,146271.66679360243,Census2010Tract
191,53033023604.0,2167.2481291847184,89360.41157936196,Census2010Tract
192,53033023700.0,7614.248238482385,117359.46016260162,Census2010Tract
