geoid10,geoid_nm,land_acres,total_pop10,risk_score,risk_level,risk_level_name,poc_pct,poc_level,linguistic_pct,linguistic_level,education_pct,education_level,renter_pct,renter_level,cost_burdened_pct,sev_cost_burdened_pct,cost_burdened_level,sev_cost_burdened_level,combined_burdened_level,poverty_pct,poverty_level,jobs_auto,jobs_transit,jobs_auto_level,jobs_transit_level,jobs_level,transit_now_pct,transit_now_level,transit_future_pct,transit_future_level,supermarket,pharmacy,restaurant,pharmacy_level,supermarket_level,restaurant_level,core_business_level,field36,park,school,park_level,school_level,civic_infrastructure_level,near_high_inc,near_high_inc_level,dev_potential_pct,dev_potential_level,rent_ratio_0room,rent_ratio_1room,rent_ratio_2room,rent_ratio_3room,rent_ratio_0room_level,rent_ratio_1room_level,rent_ratio_2room_level,rent_ratio_3room_level,rent_ratio_weight,rent_ratio_all_level,vote_pct,vote_level,Shape__Area,Shape__Length
53033032800,53033032800,349215.9815,2851,8,1,lower,7.82,0,0.68,0,52.3,2,18.68,1,19.19,11.57,2,1,1.5,13.96,1,25853,0,0,0,0,0,0,0,0,7.51,1.68,1.22,0,0,0,0,0,0.31,3.31,2,0,1,0,0,0.72,0,NA,NA,NA,NA,0,0,0,0,1,0,64.2,1,15211787308,716825.6148
53033026500,53033026500,493.0771201,3459,39,3,higher,70.77,4,28,4,84.45,4,59.71,3,35.36,12.25,4,1,2.5,55.72,4,484964,89551,4,3,3.5,0,0,11.7,1,0.83,0.79,0.55,1,2,2,1.67,1.67,0.3,0.4,2,3,2.5,0,0,5.72,2,NA,0.28,0.64,0.53,0,4,4,4,0.33,3.96,52.42,3,21478353.44,27558.06428
53033026400,53033026400,1198.644567,5745,40,3,higher,71.76,4,23.97,4,81.3,4,58.23,3,42.45,24.29,4,3,3.5,43.83,4,636797,42169,4,2,3,0,0,0,0,0.56,0.82,0.48,3,1,3,2.33,2.33,0.28,0.35,3,4,3.5,0,0,5.2,2,0.63,0.81,0.86,0.46,4,2,1,4,0.25,2.75,40.89,4,52212748.49,46421.32207
53033026300,53033026300,1213.23497,1626,35,2,moderate,73.8,4,19.46,4,79.8,3,35.45,2,25.32,17.8,4,2,3,20.09,2,570108,44095,4,3,3.5,0,0,0,0,0.7,1.15,0.87,2,1,1,1.33,1.33,0.09,1.15,4,0,2,0,0,4.33,2,NA,NA,0.73,0.71,0,0,4,4,0.5,4,46.12,4,52848303.88,59975.9857
53033026200,53033026200,3896.417149,4998,39,3,higher,56.47,4,16.36,4,68.96,3,72.53,4,32.74,15.14,4,2,3,23.91,2,521395,229579,4,4,4,35.57,2,25.83,2,0.7,0.6,0.5,2,3,3,2.67,2.67,0.27,0.17,3,4,3.5,0,0,3.98,1,1.01,0.79,0.78,NA,0,3,3,0,0.33,1.98,56.24,2,169727252.1,58095.43514
53033026100,53033026100,1065.731329,6712,38,2,moderate,80.2,4,28.36,4,77.8,3,57.04,3,44.08,17.5,4,2,3,47.56,4,460633,116602,4,3,3.5,0,0,0,0,0.91,1.25,0.58,1,0,2,1,1,0.16,0.33,3,4,3.5,0,0,8.2,3,0.81,0.74,0.83,0.92,2,4,2,0,0.25,2,43.21,4,46423071.02,37572.22618
53033026001,53033026001,679.0287844,5274,23,1,lower,62.6,4,17.66,4,62.67,2,15.01,1,15.57,5.9,2,0,1,12.3,1,434338,55153,3,3,3,0,0,0,0,1.54,1.61,0.53,0,0,2,0.67,0.67,0.21,0.3,3,4,3.5,0,0,2.91,1,NA,NA,1.01,0.91,0,0,0,0,0.5,0,60.27,2,29578375.53,32813.537
53033021500,53033021500,873.5744951,4294,11,1,lower,20.95,1,2.98,0,35.88,1,6.53,0,11.12,7.68,1,0,0.5,7.25,0,231848,35301,2,2,2,0,0,19.45,1,0.74,0.81,0.53,2,1,2,1.67,1.67,0.22,0.76,3,2,2.5,0,0,2.1,1,NA,NA,NA,1.09,0,0,0,0,1,0,74.92,0,38052752.8,29009.30253
53033021400,53033021400,775.5414237,3690,14,1,lower,18.78,0,3.2,0,39.2,1,16.38,1,15.52,9.66,2,0,1,12.68,1,272945,71555,2,3,2.5,0,0,21.89,1,0.57,0.57,0.44,3,3,3,3,3,0.38,0.39,2,4,3,0,0,3.3,1,NA,NA,1.17,1.14,0,0,0,0,0.5,0,77.17,0,33782449.29,32889.20053
53033021300,53033021300,445.6324893,3759,27,2,moderate,28.35,1,10.29,2,48.69,1,43.61,2,26.5,15.95,4,2,3,16.33,2,312869,181805,2,3,2.5,0,0,68.06,4,0.45,0.77,0.27,3,2,3,2.67,2.67,0.22,0.49,3,3,3,0,0,6.17,2,0.65,0.98,1.05,1.05,4,0,0,0,0.25,1,65.87,1,19411673.59,24549.31194
53033001702,53033001702,316.3305808,4234,28,2,moderate,31.83,2,7.6,1,39.27,1,41.1,2,26.96,15.5,4,2,3,19.32,2,509019,408917,4,4,4,22.45,1,54.96,3,0.26,0.27,0.24,4,4,4,4,4,0.21,0.44,3,3,3,0,0,2.89,1,1.04,1.09,1.08,1.21,0,0,0,0,0.25,0,66.65,1,13779304.98,17476.41135
53033004302,53033004302,81.71708524,3518,43,3,higher,44.83,3,15.48,3,23.36,0,94.14,4,58.56,37.62,4,4,4,60.15,4,891997,566359,4,4,4,0,0,95.62,4,0.33,0.42,0.16,4,3,4,3.67,3.67,0.06,0.74,4,2,3,1,4,2.94,1,0.74,0.83,0.91,1.01,4,2,0,0,0.25,1.5,37.91,4,3559581.995,8012.177746
53033004301,53033004301,241.9916865,3531,32,2,moderate,33.21,2,3.07,0,21.62,0,45.24,3,26.71,18.63,4,2,3,35.6,4,868240,506311,4,4,4,0,0,96.7,4,0.39,0.45,0.1,4,3,4,3.67,3.67,0.08,0.48,4,3,3.5,0,0,1.75,1,0.9,0.98,0.78,0.7,0,0,3,4,0.25,1.75,60.84,2,10541115.7,17201.3728
53033007402,53033007402,61.59688031,4921,37,2,moderate,34.85,2,1.81,0,42.17,1,83.07,4,37.3,21.08,4,3,3.5,36.92,4,965801,730039,4,4,4,65.51,4,100,4,0.15,0.08,0.15,4,4,4,4,4,0.11,0.52,4,3,3.5,0,0,2.42,1,0.91,1.09,1.09,NA,0,0,0,0,0.33,0,57.55,2,2683149.374,7060.265272
53033010002,53033010002,234.3119953,4313,40,3,higher,64.09,4,21.56,4,49.75,1,50.23,3,26.02,7.26,4,0,2,28.19,3,1017378,604238,4,4,4,43.46,3,98.53,4,0.49,0.35,0.29,3,4,3,3.33,3.33,0.17,0.37,3,4,3.5,0,0,5.48,2,0.55,0.99,0.85,1.04,4,0,2,0,0.25,1.5,59.09,2,10206589.69,14049.29322
53033010001,53033010001,571.836123,3769,46,3,higher,70.86,4,23.18,4,61.26,2,56.14,3,23.48,11.59,3,1,2,43.23,4,924890,496858,4,4,4,22.71,1,37.23,2,0.39,0.48,0.21,4,3,4,3.67,3.67,0.08,0.41,4,3,3.5,1,4,8.65,3,NA,0.17,0.72,0.51,0,4,4,4,0.33,3.96,55.46,2,24909081.88,25228.68413
