,geography,value,geography_group
196,53033023900.0,545534.9084184573,Census2010Tract
197,53033024000.0,778515.1204263901,Census2010Tract
198,53033024100.0,866739.1388526728,Census2010Tract
199,53033024200.0,843060.9501748251,Census2010Tract
200,53033024300.0,775058.048902987,Census2010Tract
201,53033024400.0,617442.239292998,Census2010Tract
202,53033024500.0,532822.8685015291,Census2010Tract
203,53033024601.0,360048.656348705,Census2010Tract
204,53033024602.0,253990.80501618123,Census2010Tract
205,53033024701.0,435159.19461697724,Census2010Tract
206,53033024702.0,446700.00995195605,Census2010Tract
207,53033024800.0,422166.0620220901,Census2010Tract
208,53033024901.0,376079.82101167314,Census2010Tract
209,53033024902.0,362043.56065088755,Census2010Tract
210,53033024903.0,351856.797979798,Census2010Tract
211,53033025001.0,382058.40500736376,Census2010Tract
212,53033025003.0,331619.0756925478,Census2010Tract
213,53033025005.0,357019.309961522,Census2010Tract
214,53033025006.0,269541.50951802346,Census2010Tract
215,53033025101.0,406245.85455390334,Census2010Tract
216,53033025102.0,358548.5251031637,Census2010Tract
217,53033025200.0,419773.3146551724,Census2010Tract
218,53033025301.0,486946.9877208745,Census2010Tract
219,53033025302.0,487751.5280390108,Census2010Tract
220,53033025400.0,423560.6187599364,Census2010Tract
221,53033025500.0,377171.9834024896,Census2010Tract
222,53033025601.0,380895.5910834132,Census2010Tract
223,53033025602.0,315547.4777933614,Census2010Tract
224,53033025701.0,403353.2303070761,Census2010Tract
225,53033025702.0,322601.7291666667,Census2010Tract
226,53033025803.0,351558.0429347826,Census2010Tract
227,53033025804.0,331465.87742435996,Census2010Tract
228,53033025805.0,379437.20065635256,Census2010Tract
229,53033025806.0,406423.62897145934,Census2010Tract
230,53033026001.0,434337.7343518975,Census2010Tract
231,53033026002.0,527351.9176550322,Census2010Tract
232,53033026100.0,460632.6963946869,Census2010Tract
233,53033026200.0,521394.92093639576,Census2010Tract
234,53033026300.0,570107.7916666666,Census2010Tract
235,53033026400.0,636796.8219479948,Census2010Tract
236,53033026500.0,484964.2226099093,Census2010Tract
237,53033026600.0,400926.7303240741,Census2010Tract
238,53033026700.0,400046.4129496403,Census2010Tract
239,53033026801.0,440709.73272552784,Census2010Tract
240,53033026802.0,448129.817775571,Census2010Tract
241,53033027000.0,497103.6101836394,Census2010Tract
242,53033027100.0,532112.9014296463,Census2010Tract
243,53033027200.0,590771.0055803572,Census2010Tract
244,53033027300.0,510655.5683525288,Census2010Tract
245,53033027400.0,483882.8012618297,Census2010Tract
246,53033027500.0,460725.156557802,Census2010Tract
247,53033027600.0,424406.3456121343,Census2010Tract
248,53033027701.0,1514.5990239934933,Census2010Tract
249,53033027702.0,2369.6482320942882,Census2010Tract
250,53033027800.0,408882.65953038674,Census2010Tract
251,53033027900.0,460745.1684815487,Census2010Tract
252,53033028000.0,490635.2698309493,Census2010Tract
253,53033028100.0,520300.77964071854,Census2010Tract
254,53033028200.0,539053.2386422977,Census2010Tract
255,53033028300.0,478546.74311440677,Census2010Tract
256,53033028402.0,488860.26906318084,Census2010Tract
257,53033028403.0,481325.77589602204,Census2010Tract
258,53033028500.0,460846.301744186,Census2010Tract
259,53033028600.0,461121.91371514695,Census2010Tract
260,53033028700.0,477692.17439409904,Census2010Tract
261,53033028801.0,451505.30594184576,Census2010Tract
262,53033028802.0,459606.8407196139,Census2010Tract
263,53033028901.0,412052.61246786633,Census2010Tract
264,53033028902.0,434424.8798226164,Census2010Tract
265,53033029001.0,371188.27786337957,Census2010Tract
266,53033029003.0,386130.3005157056,Census2010Tract
267,53033029004.0,390333.97464578674,Census2010Tract
268,53033029101.0,450988.0914760915,Census2010Tract
269,53033029102.0,421803.7776307081,Census2010Tract
270,53033029203.0,423644.5188485264,Census2010Tract
271,53033029204.0,407313.79794790846,Census2010Tract
272,53033029205.0,458012.7929315813,Census2010Tract
273,53033029206.0,459644.4220472441,Census2010Tract
