"","mode_1","mode_2","mode_3","mode_4","mode_characterization","survey_year","count"
"600","Urban Rail (e.g., Link light rail, monorail)","Household vehicle 1","Missing: Skip Logic",NA,"Transit","2019",1
"601","Urban Rail (e.g., Link light rail, monorail)","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Transit","2019",11
"602","Urban Rail (e.g., Link light rail, monorail)","Missing: Skip Logic","Missing: Skip Logic",NA,"Transit","2019",1121
"603","Urban Rail (e.g., Link light rail, monorail)","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing: Skip Logic",NA,"Transit","2019",1
"604","Urban Rail (e.g., Link light rail, monorail)","Other hired service (Uber, Lyft, or other smartphone-app car service)",NA,NA,"Transit","2017",1
"605","Urban Rail (e.g., Link light rail, monorail)","Other rail (e.g., streetcar)","Missing: Skip Logic",NA,"Transit","2019",2
"606","Urban Rail (e.g., Link light rail, monorail)","Other vehicle in household","Missing: Skip Logic",NA,"Transit","2019",1
"607","Urban Rail (e.g., Link light rail, monorail)","Private bus or shuttle","Missing: Skip Logic",NA,"Transit","2019",3
"608","Urban Rail (e.g., Link light rail, monorail)","Urban Rail (e.g., Link light rail, monorail)","Bus (public transit)",NA,"Transit","2017",2
"609","Urban Rail (e.g., Link light rail, monorail)","Urban Rail (e.g., Link light rail, monorail)","Missing: Skip Logic",NA,"Transit","2019",8
"610","Urban Rail (e.g., Link light rail, monorail)","Walk (or jog/wheelchair)","Bus (public transit)",NA,"Transit","2017",6
"611","Urban Rail (e.g., Link light rail, monorail)","Walk (or jog/wheelchair)","Friend/colleague's car",NA,"Transit","2017",1
"612","Urban Rail (e.g., Link light rail, monorail)","Walk (or jog/wheelchair)",NA,NA,"Transit","2017",47
"613","Urban Rail (e.g., Link light rail, monorail)",NA,NA,NA,"Transit","2017",569
"614","Urban Rail (e.g., Link light rail, monorail, streetcar)","Bus (public transit)","Household vehicle 1","Commuter rail (Sounder, Amtrak)","Transit","2023",1
"615","Urban Rail (e.g., Link light rail, monorail, streetcar)","Bus (public transit)","Missing Response","Missing Response","Transit","2023",4
"616","Urban Rail (e.g., Link light rail, monorail, streetcar)","Household vehicle 8","Bus (public transit)","Commuter rail (Sounder, Amtrak)","Transit","2023",1
"617","Urban Rail (e.g., Link light rail, monorail, streetcar)","Household vehicle 8","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail, streetcar)","Transit","2023",5
"618","Urban Rail (e.g., Link light rail, monorail, streetcar)","Household vehicle 8","Other bus (rMove only)","Urban Rail (e.g., Link light rail, monorail, streetcar)","Transit","2023",1
"619","Urban Rail (e.g., Link light rail, monorail, streetcar)","Household vehicle 8","Urban Rail (e.g., Link light rail, monorail, streetcar)","Bus (public transit)","Transit","2023",1
"620","Urban Rail (e.g., Link light rail, monorail, streetcar)","Household vehicle 8","Urban Rail (e.g., Link light rail, monorail, streetcar)","Missing Response","Transit","2023",1
"621","Urban Rail (e.g., Link light rail, monorail, streetcar)","Missing Response","Missing Response","Missing Response","Transit","2023",126
"622","Urban Rail (e.g., Link light rail, monorail, streetcar)","Other hired service (Uber, Lyft, or other smartphone-app car service)","Household vehicle 6","Bus (public transit)","Transit","2023",1
"623","Urban Rail (e.g., Link light rail, monorail, streetcar)",NA,NA,NA,"Transit","2021",37
"624","Vanpool","Friend/colleague's car","Missing: Skip Logic",NA,"Transit","2019",2
"625","Vanpool","Household vehicle 1","Missing Response","Missing Response","Transit","2023",3
"626","Vanpool","Household vehicle 1","Missing: Skip Logic",NA,"Transit","2019",2
"627","Vanpool","Household vehicle 1",NA,NA,"Transit","2017",3
"628","Vanpool","Household vehicle 4","Missing Response","Missing Response","Transit","2023",2
"629","Vanpool","Missing Response","Missing Response","Missing Response","Transit","2023",11
"630","Vanpool","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Transit","2019",1
"631","Vanpool","Missing: Skip Logic","Missing: Skip Logic",NA,"Transit","2019",71
"632","Vanpool","Personal scooter or moped (not shared)","Missing Response","Missing Response","Transit","2023",1
"633","Vanpool","Taxi (e.g., Yellow Cab)","Missing: Skip Logic",NA,"Transit","2019",2
"634","Vanpool",NA,NA,NA,"Transit","2017",95
"635","Vanpool",NA,NA,NA,"Transit","2021",9
"636","Vehicle ferry (took vehicle on board)","Household vehicle 1","Bus (public transit)","Missing Response","Transit","2023",1
"637","Vehicle ferry (took vehicle on board)","Missing Response","Missing Response","Missing Response","Transit","2023",24
"638","Walk (or jog/wheelchair)","Bicycle or e-bike (rSurvey only)",NA,NA,"Bike/Micromobility","2017",1
"639","Walk (or jog/wheelchair)","Bicycle owned by my household (rMove only)","Missing: Skip Logic","Missing: Skip Logic","Bike/Micromobility","2019",59
"640","Walk (or jog/wheelchair)","Bike-share bicycle (rMove only)","Missing: Skip Logic","Missing: Skip Logic","Bike/Micromobility","2019",2
"641","Walk (or jog/wheelchair)","Borrowed bicycle (e.g., from a friend) (rMove only)","Missing: Skip Logic","Missing: Skip Logic","Bike/Micromobility","2019",2
"642","Walk (or jog/wheelchair)","Bus (public transit)","Bicycle or e-bike (rSurvey only)",NA,"Transit","2017",2
"643","Walk (or jog/wheelchair)","Bus (public transit)","Missing Response","Missing Response","Transit","2023",2
"644","Walk (or jog/wheelchair)","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail)",NA,"Transit","2017",18
"645","Walk (or jog/wheelchair)","Bus (public transit)",NA,NA,"Transit","2017",201
"646","Walk (or jog/wheelchair)","Carshare service (e.g., Turo, Zipcar, ReachNow)",NA,NA,"Drive HOV2","2017",1
"647","Walk (or jog/wheelchair)","Electric bicycle (my household's)","Missing Response","Missing Response","Bike/Micromobility","2023",1
"648","Walk (or jog/wheelchair)","Friend/colleague's car",NA,NA,"Drive HOV2","2017",1
"649","Walk (or jog/wheelchair)","Household vehicle 1",NA,NA,"Drive HOV2","2017",3
"650","Walk (or jog/wheelchair)","Household vehicle 1",NA,NA,"Drive HOV3+","2017",2
"651","Walk (or jog/wheelchair)","Household vehicle 1",NA,NA,"Drive SOV","2017",5
"652","Walk (or jog/wheelchair)","Household vehicle 2",NA,NA,"Drive HOV2","2017",5
"653","Walk (or jog/wheelchair)","Household vehicle 2",NA,NA,"Drive SOV","2017",1
"654","Walk (or jog/wheelchair)","Missing Response","Missing Response","Missing Response","Walk","2023",11859
"655","Walk (or jog/wheelchair)","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Walk","2019",17402
"656","Walk (or jog/wheelchair)","Missing: Skip Logic","Missing: Skip Logic",NA,"Walk","2019",241
"657","Walk (or jog/wheelchair)","Other hired service (Uber, Lyft, or other smartphone-app car service)",NA,NA,"Drive HOV2","2017",2
"658","Walk (or jog/wheelchair)","Other mode (e.g., skateboard, kayak, motorhome, etc.)","Missing: Skip Logic","Missing: Skip Logic","Bike/Micromobility","2019",2
"659","Walk (or jog/wheelchair)","Other vehicle in household",NA,NA,"Drive SOV","2017",1
"660","Walk (or jog/wheelchair)","Urban Rail (e.g., Link light rail, monorail)","Bicycle or e-bike (rSurvey only)",NA,"Transit","2017",1
"661","Walk (or jog/wheelchair)","Urban Rail (e.g., Link light rail, monorail)","Bus (public transit)",NA,"Transit","2017",4
"662","Walk (or jog/wheelchair)","Urban Rail (e.g., Link light rail, monorail)",NA,NA,"Transit","2017",62
"663","Walk (or jog/wheelchair)","Vanpool",NA,NA,"Transit","2017",1
"664","Walk (or jog/wheelchair)",NA,NA,NA,"Missing Response","2023",1
"665","Walk (or jog/wheelchair)",NA,NA,NA,"Walk","2017",10489
"666","Walk (or jog/wheelchair)",NA,NA,NA,"Walk","2021",1995
