hhno,pno,pptyp,pagey,pgend,pwtyp,pwpcl,pwtaz,pwautime,pwaudist,pstyp,pspcl,pstaz,psautime,psaudist,puwmode,puwarrp,puwdepp,ptpass,ppaidprk,pdiary,pproxy,psexpfac
2966,1,1,52,1,1,1131004,2636,47.69,18.1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,187.17
2979,1,1,31,1,1,39107,1831,26.32,5.38,0,-1,-1,-1,-1,3,1,1,0,-1,1,0,879.9
2979,2,1,27,2,1,339760,1603,61.77,15.24,0,-1,-1,-1,-1,3,9,2,0,-1,1,0,879.9
2980,1,2,67,2,2,73908,42,14,3.65,0,-1,-1,-1,-1,3,8,9,0,-1,1,0,173.74
2983,1,1,52,2,1,1145495,2401,11.64,2.79,0,-1,-1,-1,-1,3,3,9,0,-1,1,0,180.29
2991,1,1,51,2,1,991993,2647,14.72,3.16,0,-1,-1,-1,-1,3,-1,-1,0,-1,1,0,389.12
3019,1,1,62,1,1,811027,3019,40.72,17.27,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,2,344
3019,2,1,61,2,1,928677,2959,33.89,13.03,0,-1,-1,-1,-1,3,-1,-1,0,-1,1,0,344
3035,1,4,63,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,275.74
3042,1,3,80,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,161.85
3042,2,4,56,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,161.85
3042,3,1,26,2,1,311101,1797,35.38,12.21,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,161.85
3043,1,1,46,2,1,218235,983,23.14,5.78,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,254.82
3043,2,2,47,1,2,424769,808,34.79,13.46,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,254.82
3043,3,7,15,1,0,-1,-1,-1,-1,1,32209,1005,17.54,4.67,-1,-1,-1,0,-1,1,1,254.82
3070,1,3,81,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,216.27
3090,1,3,77,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,170.63
3091,1,1,32,2,1,593775,3496,17.95,7.41,0,-1,-1,-1,-1,3,-1,-1,0,-1,1,0,114.65
3091,2,7,11,2,0,-1,-1,-1,-1,1,593889,3510,12.99,5.48,-1,-1,-1,0,-1,1,1,114.65
3165,1,3,81,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,97.49
3165,2,3,76,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,97.49
3195,1,3,76,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,345.01
3203,1,1,43,2,1,534905,958,16.68,4.46,0,-1,-1,-1,-1,3,5,9,0,-1,1,0,146.34
3203,2,1,44,1,1,346916,1177,32.8,18.24,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,146.34
3212,1,1,36,1,1,762309,2806,58.05,30.7,0,-1,-1,-1,-1,3,2,3,0,-1,1,0,418.39
3212,2,1,36,2,1,40966,450,83.83,28.34,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,418.39
