"","home_county","dest_jurisdiction","mode_char1","count","prop","prop_se","est","est_se"
"278","Kitsap","Poulsbo","HOV",36,0.328686936902868,0.111724480317753,13164.9200330073,5557.29823844179
"279","Kitsap","Poulsbo","SOV",62,0.658068127492967,0.111781106398851,26357.6470557329,7502.15309462054
"280","Kitsap","Poulsbo","Transit",3,0.0132449356041646,0.0113656898762348,530.500298290487,443.978286817206
"281","Kitsap","Renton","HOV",3,0.951341830543839,0.0534526008220999,13294.0289808308,7675.05977136328
"282","Kitsap","Renton","Transit",1,0.0486581694561606,0.0534526008220999,679.948147065702,679.94814706544
"283","Kitsap","Sea Tac","Bike/Micromobility",1,0.0385556859366944,0.0503781240480915,66.71407033845,66.7140703383588
"284","Kitsap","Sea Tac","SOV",2,0.078587790051693,0.0879147601740496,135.982831737463,101.227390621763
"285","Kitsap","Sea Tac","Walk",1,0.882856524011613,0.120510054679392,1527.63336485254,1527.63336485173
"286","Kitsap","Seattle","Bike/Micromobility",1,0.00156753999675711,0.00164167888771124,48.3476589409661,48.3476589409715
"287","Kitsap","Seattle","HOV",14,0.638824686854166,0.141138920016551,19703.2791169541,8453.67117440812
"288","Kitsap","Seattle","SOV",13,0.141221623934525,0.0921246417618893,4355.70060298356,2934.0499376765
"289","Kitsap","Seattle","Transit",6,0.170773072266513,0.112512271283996,5267.15635411099,3752.00348821157
"290","Kitsap","Seattle","Walk",4,0.0476130769480378,0.0328610503077038,1468.53082548196,947.155171005989
"291","Kitsap","Shoreline","HOV",3,1,0,295.485167513321,170.592852286523
"292","Kitsap","Tacoma","SOV",3,1,0,782.723791913155,545.4103132209
"293","Kitsap","Tukwila","HOV",1,0.5,0.353559181566463,93.4466221812637,93.4466221811162
"294","Kitsap","Tukwila","Transit",1,0.5,0.353559181566463,93.4466221812637,93.4466221811162
"295","Kitsap","Unincorporated Clallam County","SOV",1,1,0,162.81214146642,162.812141466371
"296","Kitsap","Unincorporated Douglas County","HOV",5,1,1.05199567098414e-16,313.342940490781,148.454594085208
"297","Kitsap","Unincorporated Jefferson County","HOV",2,1,0,145.753453986716,108.636786797339
"298","Kitsap","Unincorporated King County","HOV",1,0.00373756967799976,0.005197093303423,20.2307697724821,20.2307697725001
"299","Kitsap","Unincorporated King County","SOV",4,0.989673160855815,0.0125119605249939,5356.91681820197,5250.27726771341
"300","Kitsap","Unincorporated King County","Walk",1,0.00658926946618521,0.00914885990697994,35.6664905336509,35.6664905336917
"301","Kitsap","Unincorporated Kitsap County","Bike/Micromobility",4,0.000495870323150573,0.000272021655000399,226.687687436526,123.196653478206
"302","Kitsap","Unincorporated Kitsap County","HOV",360,0.361201304444823,0.0380499741980572,165123.590948979,22702.9105942773
"303","Kitsap","Unincorporated Kitsap County","SOV",415,0.480856130715883,0.03801173071479,219823.932130255,22670.9193927928
"304","Kitsap","Unincorporated Kitsap County","Transit",41,0.0588257978749315,0.0170631534001564,26892.2810245038,8009.33737106136
"305","Kitsap","Unincorporated Kitsap County","Walk",29,0.098620896641212,0.0231321899959557,45084.6561061982,11155.7463620675
"306","Kitsap","Unincorporated Kittitas County","HOV",6,1,5.08502866625855e-17,325.14418647392,148.9221059385
"307","Kitsap","Unincorporated Mason County","HOV",5,0.710912067402562,0.199067487362044,140.047319311407,71.640335007527
"308","Kitsap","Unincorporated Mason County","SOV",2,0.289087932597438,0.199067487362044,56.9493638692481,46.8401749219262
"309","Kitsap","Unincorporated Okanogan County","HOV",5,1,1.05199567098414e-16,313.342940490781,148.454594085208
"310","Kitsap","Unincorporated Pierce County","HOV",1,0.120013906741176,0.141823641194272,59.1242402214784,59.1242402214685
"311","Kitsap","Unincorporated Pierce County","SOV",2,0.879986093258824,0.141823641194272,433.520669247111,388.550322846095
"312","Kitsap","Unincorporated Snohomish County","HOV",5,1,1.56990734023827e-16,4436.92005753031,3137.00635451692
"313","Kitsap","Unincorporated Thurston County","HOV",4,0.00345008341041441,0.00268534866815067,47.204983932556,23.6013321481942
"314","Kitsap","Unincorporated Thurston County","SOV",3,0.996549916589586,0.00268534866815062,13635.0682591036,8180.80272764092
"315","Kitsap","University Place","SOV",1,1,0,117.816573527467,117.816573527513
"316","Kitsap",NA,"HOV",6,0.696766198860971,0.152549925015684,484.558495692631,201.184254444403
"317","Kitsap",NA,"SOV",2,0.217591690251903,0.139495577322953,151.321780930302,109.395302845745
"318","Kitsap",NA,"Walk",1,0.0856421108871264,0.0832328957527297,59.5588771201111,59.5588771200736
"319","Pierce","Arlington","SOV",1,1,0,1225.38617943629,1225.38617943585
"320","Pierce","Auburn","HOV",14,0.123746715901993,0.0824579058318355,6718.2460000973,4888.9996629612
"321","Pierce","Auburn","SOV",32,0.684775552827598,0.104420814086042,37176.66836825,9115.10863440685
"322","Pierce","Auburn","Transit",4,0.19147773127041,0.0855772190508413,10395.3829630029,5197.43606878233
"323","Pierce","Bellevue","HOV",2,1,0,74.9254246716354,52.9794080721354
"324","Pierce","Bonney Lake","HOV",12,0.312913089544217,0.167171470768706,13515.4582198182,9702.24108655076
"325","Pierce","Bonney Lake","SOV",42,0.639413650473913,0.161730194894113,27617.7915431704,8844.47165399043
