"","year","geography","variable","metric","estimate","share","moe"
"306","2018","Kitsap County","Transit","Commute Mode",10002,0.0749522275094608,1637
"307","2018","Kitsap County","Work from Home","Commute Mode",7585,0.0568398965866087,1176
"308","2018","Kitsap County","Walk, Bike & Other","Commute Mode",10618,0.0795683614972461,1655.35192632866
"309","2018","Kitsap County","Carpooled","Commute Mode",10944,0.0820113155232493,1698
"310","2018","Kitsap County","Drove Alone","Commute Mode",94296,0.706628198883435,3246
"311","2018","Pierce County","Transit","Commute Mode",18587,0.0429793000110992,2213
"312","2018","Pierce County","Work from Home","Commute Mode",24763,0.0572602575012024,2824
"313","2018","Pierce County","Walk, Bike & Other","Commute Mode",13135,0.0303724703096674,2123.3993971931
"314","2018","Pierce County","Carpooled","Commute Mode",42064,0.09726589958933,3973
"315","2018","Pierce County","Drove Alone","Commute Mode",333915,0.772122072588701,7032
"316","2018","Region","Transit","Commute Mode",229482,0.104638803658952,8465.13626588492
"317","2018","Region","Work from Home","Commute Mode",146156,0.066643958949189,6845.27355187505
"318","2018","Region","Walk, Bike & Other","Commute Mode",144230,0.0657657448154132,6885.28982687004
"319","2018","Region","Carpooled","Commute Mode",217026,0.0989591384199532,9084.55166752878
"320","2018","Region","Drove Alone","Commute Mode",1456193,0.663992354156493,15451.9898394996
"321","2018","Snohomish County","Transit","Commute Mode",24699,0.0593001815091187,3113
"322","2018","Snohomish County","Work from Home","Commute Mode",27241,0.0654033055787644,2727
"323","2018","Snohomish County","Walk, Bike & Other","Commute Mode",14306,0.0343474795202013,2241.42030864361
"324","2018","Snohomish County","Carpooled","Commute Mode",49135,0.117968922565713,3925
"325","2018","Snohomish County","Drove Alone","Commute Mode",301127,0.722980110826203,6535
"326","2019","King County","Transit","Commute Mode",184969,0.148910716686511,8214
"327","2019","King County","Work from Home","Commute Mode",89215,0.0718232222112198,5254
"328","2019","King County","Walk, Bike & Other","Commute Mode",100152,0.0806281382155252,6014.21349803946
"329","2019","King County","Carpooled","Commute Mode",119531,0.0962293512764592,7524
"330","2019","King County","Drove Alone","Commute Mode",748280,0.602408571610284,12255
"331","2019","Kitsap County","Transit","Commute Mode",14059,0.105275375341645,2345
"332","2019","Kitsap County","Work from Home","Commute Mode",7447,0.0557639746901793,1501
"333","2019","Kitsap County","Walk, Bike & Other","Commute Mode",9800,0.0733835036878955,2130.71114888903
"334","2019","Kitsap County","Carpooled","Commute Mode",7578,0.0567449174435583,1368
"335","2019","Kitsap County","Drove Alone","Commute Mode",94661,0.708832228836722,4259
"336","2019","Pierce County","Transit","Commute Mode",16444,0.0373351375773937,2317
