"","variable_name","variable_nice_name","variable_value","demography_geography_name","demo_geography_nice_name","survey_year","count","prop","prop_se","est","est_se"
"149","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2023",1816,0.333706067044537,0.0193407014342297,823345.520470272,57489.090325246
"150","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2023",249,0.0417163177160948,0.00680731737267475,102925.738288952,16959.5646141031
"151","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2023",833,0.0862026103115655,0.00877124145446272,212685.773685378,21695.4724732899
"152","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2023",3,0.000141133363465195,8.58827284221324e-05,188.523429892354,114.39054722593
"153","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2023",121,0.00974785678179143,0.00189504194691309,13021.0132422441,2479.78635898541
"154","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2023",523,0.143416937829471,0.0178167012742911,191573.787802047,26067.0746561472
"155","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2023",239,0.234781246565272,0.0228985697336546,313616.601986551,36752.7965671009
"156","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2023",1607,0.514386914102641,0.0236467841924972,687108.866092376,42376.32667246
"157","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2023",194,0.0251053490554144,0.00516982876239385,33535.2775301686,6897.01115477813
"158","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2023",720,0.0724205623019449,0.00712265316511363,96738.0955479213,9024.74442855821
"159","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2023",2,0.00284599652902173,0.0028211719176029,5095.16097998956,5059.30185557549
"160","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2023",69,0.0058300845902776,0.00166828259400855,10437.5459391834,2962.3573927323
"161","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2023",545,0.204809253034264,0.020047425513605,366668.091039342,40815.7889253362
"162","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2023",284,0.215009946112705,0.0199200119900059,384930.296496066,40526.6238216181
"163","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2023",1140,0.465310224631418,0.0237373076212671,833040.545185454,58424.2555183575
"164","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2023",87,0.020932901299565,0.00600557697460378,37475.9775045044,10831.6694322236
"165","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2023",491,0.0852615938027489,0.0105122593482153,152643.034313472,19060.5913513814
"166","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2023",26,0.00156064162956075,0.000533011450393865,8061.63576169877,2749.39562620415
"167","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2023",315,0.00812339820988777,0.00110384895670672,41962.1495895779,5639.67445275504
"168","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2023",1817,0.203636439486591,0.0108510729395836,1051902.48155315,63319.422620272
"169","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2023",1085,0.191225413021543,0.0107125932326965,987792.199669804,62171.5606195633
"170","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2023",3954,0.477478410255323,0.0130907980773461,2466457.99691808,93466.1247845745
"171","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2023",444,0.0356755905988905,0.00455854119392285,184285.496134488,23909.9804052906
