,hhno,hhsize,hhvehs,hhwkrs,hhftw,hhptw,hhret,hhoad,hhuni,hhhsc,hh515,hhcu5,hhincome,hownrent,hrestype,hhparcel,hhtaz,hhexpfac
136,17101928,2,2,2,1,1,0,0,1,0,0,0,-1,2,3,-1,-1,-1
137,17101944,2,0,1,1,0,0,1,0,0,0,0,125000,1,3,-1,-1,-1
138,17101947,1,1,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
139,17101949,2,2,2,2,0,0,0,0,0,0,0,175000,2,3,-1,-1,-1
140,17101953,2,1,2,2,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
141,17101956,2,2,2,2,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
142,17101985,2,1,1,0,0,0,2,0,0,0,0,62500,1,3,-1,-1,-1
143,17101988,3,2,2,2,0,0,0,0,0,0,1,125000,2,2,-1,-1,-1
144,17102003,1,1,1,0,1,0,0,0,0,0,0,62500,1,3,-1,-1,-1
145,17102061,2,1,2,2,0,0,0,0,0,0,0,125000,1,1,-1,-1,-1
146,17102109,1,1,0,0,0,1,0,0,0,0,0,87500,1,3,-1,-1,-1
147,17102166,4,1,1,1,0,0,1,0,0,1,1,87500,2,3,-1,-1,-1
148,17102227,1,1,1,1,0,0,0,0,0,0,0,42500,2,3,-1,-1,-1
149,17102252,1,0,1,0,1,0,0,0,0,0,0,17500,2,3,-1,-1,-1
150,17102269,2,2,2,0,0,0,2,0,0,0,0,62500,2,1,-1,-1,-1
151,17102273,1,1,1,1,0,0,0,0,0,0,0,30000,2,3,-1,-1,-1
152,17102274,2,2,0,0,0,2,0,0,0,0,0,125000,1,1,-1,-1,-1
153,17102275,2,1,1,1,0,0,1,1,0,0,0,62500,2,3,-1,-1,-1
154,17102276,1,1,1,1,0,0,0,0,0,0,0,42500,2,3,-1,-1,-1
155,17102280,1,0,0,0,0,0,1,0,0,0,0,-1,2,3,-1,-1,-1
156,17102289,4,2,2,1,1,2,0,0,0,0,0,125000,1,2,-1,-1,-1
157,17102313,1,1,0,0,0,1,0,0,0,0,0,30000,1,3,-1,-1,-1
158,17102374,3,2,2,1,0,0,1,0,0,0,1,87500,1,1,-1,-1,-1
159,17102381,2,1,2,0,1,0,1,1,0,0,0,62500,2,3,-1,-1,-1
160,17102387,2,1,1,1,0,0,0,0,0,1,0,30000,2,3,-1,-1,-1
161,17102398,1,0,1,1,0,0,0,0,0,0,0,30000,2,1,-1,-1,-1
162,17102408,2,1,2,2,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
163,17102449,2,2,2,0,1,0,1,0,0,0,0,17500,1,1,-1,-1,-1
164,17102461,1,1,1,0,0,0,1,0,0,0,0,87500,1,3,-1,-1,-1
165,17102466,1,0,0,0,0,0,1,0,0,0,0,17500,2,3,-1,-1,-1
166,17102485,5,4,2,2,0,0,1,0,0,2,0,125000,1,1,-1,-1,-1
167,17102502,1,1,1,1,0,0,0,0,0,0,0,87500,2,3,-1,-1,-1
168,17102549,2,2,2,2,0,0,0,0,0,0,0,125000,1,2,-1,-1,-1
169,17102556,1,1,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
170,17102575,1,1,0,0,0,1,0,0,0,0,0,-1,2,3,-1,-1,-1
171,17102577,4,3,2,1,0,0,1,0,1,1,0,300000,1,1,-1,-1,-1
172,17102578,2,0,0,0,0,0,2,1,0,0,0,125000,2,3,-1,-1,-1
173,17102608,1,2,1,0,0,0,1,0,0,0,0,17500,1,1,-1,-1,-1
174,17102618,1,1,1,1,0,0,0,0,0,0,0,175000,2,3,-1,-1,-1
175,17102628,1,1,1,1,0,0,0,1,0,0,0,62500,2,3,-1,-1,-1
176,17102630,1,1,1,1,0,0,0,0,0,0,0,42500,1,3,-1,-1,-1
177,17102637,4,2,2,1,1,0,0,0,0,0,2,125000,1,2,-1,-1,-1
178,17102671,1,0,1,1,0,0,0,0,0,0,0,30000,2,3,-1,-1,-1
179,17102684,4,1,2,2,0,0,0,0,0,1,1,225000,1,1,-1,-1,-1
180,17102694,3,2,2,2,0,0,0,0,0,1,0,125000,1,1,-1,-1,-1
181,17102695,3,2,1,1,0,0,1,0,1,0,0,5000,2,3,-1,-1,-1
182,17102710,3,2,1,1,0,0,1,0,0,0,1,300000,1,1,-1,-1,-1
183,17102713,3,1,0,0,0,1,1,0,0,1,0,62500,1,1,-1,-1,-1
184,17102737,2,0,0,0,0,0,2,0,2,0,0,5000,2,3,-1,-1,-1
185,17102783,1,1,1,1,0,0,0,1,0,0,0,62500,2,3,-1,-1,-1
186,17102787,2,0,1,1,0,0,1,0,0,0,0,17500,2,3,-1,-1,-1
187,17102798,1,1,1,1,0,0,0,0,0,0,0,87500,1,1,-1,-1,-1
188,17102804,1,0,0,0,0,0,1,0,0,0,0,125000,2,2,-1,-1,-1
189,17102819,3,3,0,0,0,0,2,0,0,1,0,125000,1,3,-1,-1,-1
190,17102866,2,2,2,2,0,0,0,0,0,0,0,125000,1,3,-1,-1,-1
191,17102872,3,0,1,1,0,0,1,0,0,1,0,42500,2,3,-1,-1,-1
192,17102905,3,2,1,1,0,0,1,0,0,0,1,175000,2,3,-1,-1,-1
193,17102908,1,1,0,0,0,1,0,0,0,0,0,30000,1,3,-1,-1,-1
194,17102910,1,0,1,1,0,0,0,0,0,0,0,30000,2,3,-1,-1,-1
195,17102932,1,2,0,0,0,1,0,0,0,0,0,42500,1,3,-1,-1,-1
196,17102944,2,3,2,1,1,0,0,1,0,0,0,87500,2,3,-1,-1,-1
197,17102966,2,4,0,0,0,1,1,0,0,0,0,125000,1,1,-1,-1,-1
198,17102986,1,1,1,1,0,0,0,0,0,0,0,300000,1,2,-1,-1,-1
199,17102988,2,5,0,0,0,2,0,0,0,0,0,125000,1,1,-1,-1,-1
200,17103022,1,0,1,1,0,0,0,0,0,0,0,87500,2,3,-1,-1,-1
201,17103031,3,1,3,3,0,0,0,0,0,0,0,300000,2,3,-1,-1,-1
202,17103038,4,1,4,4,0,0,0,1,0,0,0,17500,2,2,-1,-1,-1
203,17103050,3,1,1,1,0,0,0,0,0,2,0,175000,2,6,-1,-1,-1
204,17103059,1,0,1,0,1,0,0,0,0,0,0,30000,2,3,-1,-1,-1
205,17103091,1,1,1,1,0,0,0,0,0,0,0,42500,2,3,-1,-1,-1
206,17103110,2,2,1,1,0,0,1,1,0,0,0,62500,2,3,-1,-1,-1
207,17103114,3,3,2,1,0,0,1,0,0,1,0,300000,1,1,-1,-1,-1
208,17103138,1,0,0,0,0,0,1,0,0,0,0,5000,2,3,-1,-1,-1
209,17103147,1,1,1,1,0,0,0,0,0,0,0,30000,2,3,-1,-1,-1
210,17103148,2,2,2,1,1,0,0,0,0,0,0,175000,1,1,-1,-1,-1
211,17103211,1,1,1,1,0,0,0,0,0,0,0,30000,2,3,-1,-1,-1
212,17103241,3,1,1,1,0,0,1,0,0,0,1,-1,2,3,-1,-1,-1
213,17103242,1,0,1,1,0,0,0,0,0,0,0,42500,2,3,-1,-1,-1
214,17103302,1,1,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
215,17103415,2,2,1,1,0,0,1,0,0,0,0,300000,1,1,-1,-1,-1
216,17103428,2,3,2,2,0,0,0,0,0,0,0,62500,1,4,-1,-1,-1
217,17103454,2,2,2,1,0,0,1,0,0,0,0,87500,1,1,-1,-1,-1
218,17103456,1,1,1,0,0,0,1,1,0,0,0,17500,2,3,-1,-1,-1
219,17103477,1,1,1,1,0,0,0,0,0,0,0,-1,2,3,-1,-1,-1
220,17103500,2,2,2,2,0,0,0,0,0,0,0,175000,1,1,-1,-1,-1
221,17103517,2,1,1,1,0,0,1,0,0,0,0,62500,2,3,-1,-1,-1
222,17103533,2,2,2,2,0,0,0,0,0,0,0,87500,2,3,-1,-1,-1
223,17103538,2,1,1,1,0,0,1,0,0,0,0,125000,2,3,-1,-1,-1
224,17103557,1,0,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
225,17103574,1,0,1,1,0,0,0,0,0,0,0,300000,1,3,-1,-1,-1
226,17103587,1,1,0,0,0,1,0,0,0,0,0,-1,2,3,-1,-1,-1
227,17103594,2,0,1,1,0,0,1,0,0,0,0,-1,2,3,-1,-1,-1
228,17103614,1,1,0,0,0,0,1,1,0,0,0,17500,2,3,-1,-1,-1
229,17103623,2,1,2,2,0,0,0,0,0,0,0,175000,2,3,-1,-1,-1
230,17103640,2,4,1,1,0,1,0,0,0,0,0,62500,1,1,-1,-1,-1
231,17103648,2,1,1,1,0,0,1,0,0,0,0,125000,2,3,-1,-1,-1
232,17103659,1,1,1,1,0,0,0,0,0,0,0,87500,1,3,-1,-1,-1
233,17103660,1,1,1,1,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
234,17103670,1,1,1,1,0,0,0,0,0,0,0,87500,1,3,-1,-1,-1
235,17103672,2,2,2,2,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
236,17103677,2,1,2,2,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
237,17103741,1,1,1,0,0,0,1,0,0,0,0,87500,1,1,-1,-1,-1
238,17103751,2,2,1,0,0,1,1,0,0,0,0,125000,1,1,-1,-1,-1
239,17103756,1,0,1,0,0,0,1,0,0,0,0,5000,2,5,-1,-1,-1
240,17103779,2,2,2,2,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
241,17103798,1,0,0,0,0,1,0,0,0,0,0,-1,2,1,-1,-1,-1
242,17103802,3,3,3,3,0,0,0,0,0,0,0,225000,1,1,-1,-1,-1
243,17103809,1,0,1,1,0,0,0,0,0,0,0,30000,2,3,-1,-1,-1
244,17103824,1,0,1,1,0,0,0,0,0,0,0,37500,2,3,-1,-1,-1
245,17103826,1,0,1,1,0,0,0,0,0,0,0,150000,1,3,-1,-1,-1
246,17103836,1,1,1,1,0,0,0,0,0,0,0,175000,2,3,-1,-1,-1
247,17103838,2,1,2,2,0,0,0,0,0,0,0,87500,2,3,-1,-1,-1
248,17103861,2,2,2,1,1,0,0,1,0,0,0,62500,2,3,-1,-1,-1
249,17103902,4,2,2,2,0,0,0,0,0,2,0,175000,1,1,-1,-1,-1
250,17103913,3,1,2,2,0,0,0,0,0,0,1,175000,1,1,-1,-1,-1
251,17103947,2,1,2,2,0,0,0,0,0,0,0,42500,1,2,-1,-1,-1
252,17103972,2,2,1,1,0,1,0,0,0,0,0,87500,1,1,-1,-1,-1
253,17104088,1,1,1,0,0,0,1,0,0,0,0,62500,1,3,-1,-1,-1
254,17104095,5,2,2,2,0,0,0,0,0,2,1,300000,1,1,-1,-1,-1
255,17104105,1,1,0,0,0,1,0,0,0,0,0,42500,2,3,-1,-1,-1
256,17104125,5,2,2,1,0,0,1,0,1,3,0,87500,2,1,-1,-1,-1
257,17104147,1,0,1,1,0,0,0,0,0,0,0,30000,2,1,-1,-1,-1
258,17104158,1,1,1,1,0,0,0,0,0,0,0,-1,1,1,-1,-1,-1
259,17104170,2,2,2,2,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
260,17104171,1,2,1,0,1,0,0,0,0,0,0,225000,1,1,-1,-1,-1
261,17104190,2,3,1,1,0,1,0,0,0,0,0,175000,1,1,-1,-1,-1
262,17104197,1,1,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
263,17104222,2,0,0,0,0,0,2,2,0,0,0,-1,2,3,-1,-1,-1
264,17104227,1,1,1,1,0,0,0,0,0,0,0,125000,1,2,-1,-1,-1
265,17104236,1,0,1,0,1,0,0,0,0,0,0,17500,2,3,-1,-1,-1
266,17104247,1,1,0,0,0,0,1,0,0,0,0,5000,2,3,-1,-1,-1
267,17104255,4,2,1,1,0,0,1,0,0,0,2,-1,3,2,-1,-1,-1
268,17104281,1,1,1,1,0,0,0,0,0,0,0,300000,1,3,-1,-1,-1
269,17104299,2,8,2,2,0,0,0,0,0,0,0,125000,1,1,-1,-1,-1
